,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,title,artist,isexplicit,lyricssnippet,lyricsnippetsynced,artwork,videourl,shazamurl,applemusicurl,name
0,0.0,0.0,0.0,0.0,9 May 2024 at 17:12,In Your Time,LEE SUHYUN,No,차갑게 남겨진 이야기그때의 모든 게 난 선명해동화같은 시간 그 속에 난남겨짐만 그 두려움만 가득해멈춰버린 맘 이젠 놓으려해잃었던 시간들을 찾을 수 있게이렇게 다시 너를 만나지워버린 그때의 너를 찾아아팠던 시간 지나내가 널 붙잡아아직 너의 시간에 살아,이렇게 다시 너를 만나지워버린 그때의 너를 찾아아팠던 시간 지나내가 널 붙잡아아직 너의 시간에 살아아파했던 그대로 일까 봐여전히 나를 기다릴까 봐아직 난 아직 지워지지 않아그곳에 여전히 나 서성이게 돼이렇게 다시 너를 만나지워버린 그때의 너를 찾아,Image,,https://www.shazam.com/track/529747941/in-your-time?co=GB=shortcuts=156057=0.0038684607=268386=2024-05-09T16:12:19.337Z,https://music.apple.com/gb/album/in-your-time/1523005854?i=1523005855=30201=Shazam_shortcuts,LEE SUHYUN - In Your Time
1,1.0,1.0,1.0,,9 May 2024 at 17:39,Perhaps Love,HowL  J,No,언제였던 건지 기억나지 않아자꾸 내 머리가 너로 어지럽던 시절한두 번씩 떠오르던 생각자꾸 늘어가서 조금 당황스러운 이 마음별일이 아닐 수 있다고 사소한 마음이라고네가 내게 자꾸 말을 하는 게 어색한걸사랑인가요 그대 나와 같다면 시작인가요,자꾸 내 머리가 너로 어지럽던 시절한두 번씩 떠오르던 생각자꾸 늘어가서 조금 당황스러운 이 마음별일이 아닐 수 있다고 사소한 마음이라고네가 내게 자꾸 말을 하는 게 어색한걸사랑인가요 그대 나와 같다면 시작인가요마음이 자꾸 그댈 사랑한대요,Image,,https://www.shazam.com/track/44655269/perhaps-love?co=GB=shortcuts=31162=0.0015449524=275213=2024-05-09T16:39:21.784Z,https://music.apple.com/gb/album/perhaps-love/1451918193?i=1451918194=30201=Shazam_shortcuts,HowL  J - Perhaps Love
2,2.0,,,,10 May 2024 at 12:04,The First Snow (Instrumental),Jung Joonil,No,,,Image,,https://www.shazam.com/track/339059877/the-first-snow-instrumental?co=GB=shortcuts=6063=-5.697608E-4=296134=2024-05-10T11:04:21.455Z,https://music.apple.com/gb/album/the-first-snow-instrumental/1607269592?i=1607269855=30201=Shazam_shortcuts,Jung Joonil - The First Snow (Instrumental)
3,,,,,10 May 2024 at 12:18,You Are So Beautiful,Eddy Kim,No,자꾸 물어보는 너늘 확인하고픈 너같은 말 해줘도매일 말해줘도왜 계속 물어입술이 말라 오네또 식은땀이 흐르네또 정답은 알지만니가 듣고 싶은 말그 듣고 싶은 말나를 시험하는 말너 정말 이쁘다 이쁘다 이쁘다니까왜 내 말 믿지 않는 건데,정말 힌트도 없는지너 정말 이쁘다 이쁘다 이쁘다니까왜 내 말 믿지 않는 건데왜 말하고 (말하고) 말하고 (말하고) 아무리 말해도화난 듯한 너의 그 표정이쁘단 말 하나론널 표현 하긴 부족하잖아 Ooh-oohBaby 내 맘이라도꺼내줘야 넌 믿겠니,Image,,https://www.shazam.com/track/338367689/you-are-so-beautiful?co=GB=shortcuts=107188=3.7252903E-4=195333=2024-05-10T11:18:56.531Z,https://music.apple.com/gb/album/you-are-so-beautiful/1570371864?i=1570371871=30201=Shazam_shortcuts,Eddy Kim - You Are So Beautiful
